filename,identity_id,class_idx,subset,resolved_path
006657.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/006657.jpg
007162.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/007162.jpg
014098.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/014098.jpg
015395.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/015395.jpg
025416.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/025416.jpg
025675.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/025675.jpg
032257.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/032257.jpg
033968.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/033968.jpg
034124.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/034124.jpg
046564.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/046564.jpg
049278.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/049278.jpg
051716.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/051716.jpg
060289.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/060289.jpg
068130.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/068130.jpg
095940.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/095940.jpg
109845.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/109845.jpg
144601.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/144601.jpg
155694.jpg,10023,0,train,/Users/baal/Yandex.Disk.localized/WORK/PROg/DLS/DLS.2025.1.1осень/10_PROj/celeba_wild_aligned_112_splits_20/train/images/10023/155694.jpg
